random_order,id,level,dist_id,district,school,state,county,city,address,zip,cleaned,correct_url
1,470318002263,Middle,4703180.0,Davidson County,Liberty Collegiate Academy,TN,Davidson County,Nashville,3515 Gallatin RD,37206,Liberty Collegiate Academy,https://republiccharterschools.org/lca
2,A1102422,Combined Elem/Sec,Nan,Nan,Wyoming Behavioral Institute,WY,Natrona,Casper,2521 E 15TH ST,82609,Wyoming Behavioral Institute,https://wbihelp.com/
3,A1100968,Combined Elem/Sec,Nan,Nan,The Sage School,ID,Blaine,Hailey,PO BOX 30,83333,The Sage School,https://thesageschool.org/
4,411215001156,Elementary,4100048.0,North Wasco County Sd 21,Dry Hollow Elementary School,OR,Wasco County,The Dalles,1314 E 19th St,97058,Dry Hollow Elementary School,https://www.nwasco.k12.or.us/dryhollow
5,A9302514,Combined Elem/Sec,Nan,Nan,Thw Logan School For Creative Learning,CO,Denver,Denver,1005 YOSEMITE ST,80230,Thw Logan School For Creative Learning,https://www.theloganschool.org/
6,410600001571,High,4106000.0,Gresham-Barlow Sd 10J,Center For Advanced Learning,OR,Multnomah County,Gresham,1484 NW Civic Dr,97030,Center For Advanced Learning,https://www.calcharter.org/
7,231480823134,High,2314808.0,Maine Academy Of Natural Sciences,Maine Academy Of Natural Sciences,ME,Somerset County,Hinckley,13 Easler Drive,04944,Maine Academy Of Natural Sciences,https://meansacademy.org/
8,A9903491,Combined Elem/Sec,Nan,Nan,Toledo Islamic Academy,OH,Lucas,Sylvania,5225 W. ALEXIS RD,43560,Toledo Islamic Academy,http://tiaus.net/
9,401356000631,Middle,4013560.0,Guthrie,Guthrie Upper Es,OK,Logan County,Guthrie,702 North Crooks Drive,73044,Guthrie Upper Elementary School,https://www.guthrieps.net/vnews/display.v/SEC/GUES-Upper%20Elementary
10,A0303168,Elementary,Nan,Nan,Iqra Academy Of Utah,UT,Salt Lake,Salt Lake City,3990 S CONSTITUTION BLVD,84119,Iqra Academy Of Utah,http://www.iqra-utah.org/
11,465526001353,Elementary,4655260.0,Pierre School District 32-2,Kennedy Elementary - 08,SD,Hughes County,Pierre,2306 Brookstone Loop,57501,Kennedy Elementary - 08,https://pierre.k12.sd.us/kennedy.html
12,200636001386,Elementary,2006360.0,Galena,Spring Grove Primary Center,KS,Cherokee County,Galena,1900 Galena Ave.,66739,Spring Grove Primary Center,
13,130174004142,Elementary,1301740.0,Dekalb County,Globe Academy Charter School I,GA,Dekalb County,Atlanta,2225 Heritage Dr NE,30345,Globe Academy Charter School I,https://www.theglobeacademy.org/
14,530126003649,High,5301260.0,Chewelah School District,Chewelah Open Doors Reengagement Program,WA,Nan,Chewelah,W 106 Lincoln St,99109,Chewelah Open Doors Reengagement Program,https://www.chewelah.k12.wa.us/site/Default.aspx?PageID=40
15,220005402270,High,2200156.0,Voices For International Business & Education,International High School Of New Orleans,LA,Orleans Parish,New Orleans,727 Carondelet Street,70130,International High School Of New Orleans,https://www.ihsnola.org/
16,120177008089,High,1201770.0,St. Lucie,Somerset College Preparatory Academy,FL,St. Lucie County,Port Saint Lucie,725 NW CALIFORNIA BLVD,34986,Somerset College Preparatory Academy,https://home.somersetcollegeprep.org/
17,260097008196,Elementary,2600970.0,Leelanau Montessori Public School Academy,Leelanau Montessori Public School Academy,MI,Leelanau County,Suttons Bay,310 S Elm St,49682,Leelanau Montessori Public School Academy,http://www.leelanaumontessori.org/
18,440090000213,Elementary,4400900.0,Providence,Asa Messer El. School,RI,Providence County,Providence,1655 Westminster Street,02909,Asa Messer Elementary. School,https://www.providenceschools.org/Messer
19,400075302853,Middle,4000753.0,Dove Schools Of Tulsa,Dove Science Academy Tulsa Jhs,OK,Tulsa County,Tulsa,280 S  Memorial,74112,Dove Science Academy Tulsa Junior High School,https://www.dsatulsa.org/
20,A0503069,Elementary,Nan,Nan,New Life Alternatives Christian Academy,PA,Philadelphia,Philadelphia,1993 N 63RD ST,19151,New Life Alternatives Christian Academy,
21,Bb160018,Combined Elem/Sec,Nan,Nan,Morrow Valley Christian Academy,AR,Washington,Cane Hill,19008 HALE MTN. RD,72717,Morrow Valley Christian Academy,
22,A0502151,Elementary,Nan,Nan,Walnut Creek School,MO,Daviess,Jamesport,24404 320TH ST,64648,Walnut Creek School,
23,010297001150,Elementary,102970.0,Selma City,Cedar Park Elementary School,AL,Dallas County,Selma,1101 Woodrow Ave,36701,Cedar Park Elementary School,http://www.selmacityschools.org/cedarparkelementary_home.aspx
24,A9504569,Elementary,Nan,Nan,St Paul Catholic Grade School,WI,Marathon,Mosinee,404 HIGH ST,54455,St Paul Catholic Grade School,http://www.stpaulmosinee.org/
25,Bb161222,Combined Elem/Sec,Nan,Nan,Evangel Christian Academy,LA,Caddo,Shreveport,5720 BUNCOMBE RD,71129,Evangel Christian Academy,https://www.evangelacademy.com/
